Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,12.850000,12.980000,12.020000,12.530000,12.530000,6247600
2020-03-03,12.630000,12.780000,11.635000,11.790000,11.790000,6234700
2020-03-04,11.940000,12.110000,10.865000,11.450000,11.450000,7332200
2020-03-05,10.800000,10.930000,9.680000,9.770000,9.770000,8260200
2020-03-06,9.180000,9.620000,8.190000,8.860000,8.860000,9637300
2020-03-09,7.810000,8.203000,7.250000,7.420000,7.420000,6535400
2020-03-10,7.860000,8.460000,7.355000,8.370000,8.370000,6763200
2020-03-11,7.880000,8.300000,7.670000,8.210000,8.210000,12294300
2020-03-12,7.180000,7.680000,6.910000,7.010000,7.010000,12285200
2020-03-13,7.960000,8.250000,6.280000,8.240000,8.240000,9000500
2020-03-16,7.440000,7.890000,6.100000,6.110000,6.110000,9470200
2020-03-17,6.410000,6.420000,5.550000,5.600000,5.600000,8459700
2020-03-18,5.300000,5.328000,3.180000,3.380000,3.380000,16966100
2020-03-19,3.760000,4.678000,3.450000,4.150000,4.150000,16839700
2020-03-20,5.090000,5.930000,4.750000,5.140000,5.140000,20215900
2020-03-23,5.480000,7.180000,5.050000,6.580000,6.580000,14518300
2020-03-24,7.990000,8.880000,7.343000,8.210000,8.210000,18975100
2020-03-25,8.740000,9.040000,7.100000,7.710000,7.710000,13968100
2020-03-26,8.140000,8.340000,7.140000,7.240000,7.240000,12255900
2020-03-27,6.760000,6.850000,6.110000,6.180000,6.180000,11157500
2020-03-30,6.110000,6.150000,5.550000,5.960000,5.960000,7613400
2020-03-31,6.120000,6.500000,6.000000,6.180000,6.180000,6018400
2020-04-01,5.780000,5.890000,5.350000,5.470000,5.470000,8126900
2020-04-02,5.350000,5.540000,4.690000,5.020000,5.020000,12763000
2020-04-03,5.180000,5.630000,4.460000,4.790000,4.790000,12440000
2020-04-06,5.400000,5.500000,4.900000,5.120000,5.120000,12556500
2020-04-07,5.630000,6.410000,5.520000,5.690000,5.690000,21568900
2020-04-08,5.980000,6.140000,5.420000,5.960000,5.960000,11500500
2020-04-09,6.380000,6.880000,6.040000,6.260000,6.260000,17976700
2020-04-13,6.350000,6.390000,5.660000,5.760000,5.760000,10754900
2020-04-14,5.920000,6.248000,5.800000,6.020000,6.020000,9357600
2020-04-15,5.800000,5.980000,5.600000,5.800000,5.800000,7172700
2020-04-16,5.220000,5.220000,4.650000,4.930000,4.930000,30688800
2020-04-17,5.400000,5.420000,4.950000,5.010000,5.010000,16156900
2020-04-20,4.810000,4.870000,4.550000,4.650000,4.650000,19743400
2020-04-21,4.440000,4.560000,4.150000,4.270000,4.270000,14864000
2020-04-22,4.490000,4.490000,4.030000,4.040000,4.040000,13794300
2020-04-23,4.050000,4.140000,3.760000,3.950000,3.950000,24741200
2020-04-24,3.820000,3.990000,3.420000,3.710000,3.710000,45158600
2020-04-27,3.860000,4.550000,3.830000,4.480000,4.480000,37014300
2020-04-28,4.880000,5.080000,4.470000,5.000000,5.000000,37996900
2020-04-29,5.250000,5.460000,3.560000,4.000000,4.000000,95911800
2020-04-30,3.970000,4.250000,3.845000,4.040000,4.040000,26459400
2020-05-01,3.860000,3.870000,3.490000,3.510000,3.510000,28024300
2020-05-04,3.410000,3.780000,3.180000,3.590000,3.590000,27758000
2020-05-05,3.160000,3.400000,2.800000,3.010000,3.010000,49965100
2020-05-06,3.160000,3.200000,2.910000,2.920000,2.920000,13416100
2020-05-07,3.000000,3.100000,2.800000,3.050000,3.050000,14429800
2020-05-08,3.150000,3.380000,3.040000,3.270000,3.270000,17481600
2020-05-11,3.350000,3.350000,3.030000,3.190000,3.190000,11160800
2020-05-12,3.050000,3.240000,2.890000,2.900000,2.900000,12967900
2020-05-13,2.920000,2.920000,2.600000,2.760000,2.760000,11968300
2020-05-14,2.610000,2.810000,2.320000,2.790000,2.790000,14562500
