Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,193.809998,202.550003,193.179993,202.550003,200.038162,6154200
2020-03-03,202.000000,205.669998,197.160004,199.509995,197.035858,5115200
2020-03-04,201.929993,207.160004,200.899994,207.020004,204.452728,4260400
2020-03-05,202.639999,203.910004,196.330002,198.320007,195.860611,4107200
2020-03-06,192.899994,199.580002,191.210007,198.860001,196.393921,6360100
2020-03-09,187.669998,194.470001,184.100006,186.860001,184.542740,7788500
2020-03-10,190.949997,200.000000,187.889999,199.860001,197.381516,5835200
2020-03-11,192.940002,195.740005,185.830002,188.250000,185.915482,5625100
2020-03-12,174.779999,179.839996,169.380005,170.130005,168.020218,9079300
2020-03-13,178.259995,179.470001,168.199997,177.130005,174.933395,8042600
2020-03-16,157.100006,161.919998,147.630005,149.009995,147.162109,9341300
2020-03-17,148.020004,149.479996,135.000000,147.619995,145.789337,13708200
2020-03-18,137.500000,141.710007,124.230003,137.300003,135.597336,12627600
2020-03-19,135.199997,154.839996,128.210007,149.500000,147.646027,12773400
2020-03-20,153.589996,161.539993,147.770004,148.490005,146.648575,12000000
2020-03-23,142.949997,153.210007,136.500000,137.100006,135.399826,10660400
2020-03-24,149.000000,162.979996,146.100006,161.949997,159.941635,11678400
2020-03-25,165.000000,171.360001,159.220001,162.979996,160.958862,9708700
2020-03-26,163.990005,170.929993,161.000000,167.350006,165.274673,8259900
2020-03-27,162.779999,169.740005,159.220001,164.009995,161.976089,6441400
2020-03-30,164.919998,170.309998,163.570007,168.130005,166.045013,5621700
2020-03-31,166.839996,169.509995,165.000000,165.350006,163.299484,4519900
2020-04-01,160.220001,161.440002,156.350006,158.169998,156.208527,4668900
2020-04-02,155.000000,161.949997,155.000000,161.500000,159.497238,4803200
2020-04-03,160.309998,162.229996,156.149994,160.330002,158.341736,5050400
2020-04-06,169.199997,177.869995,168.240005,177.039993,174.844498,8330900
2020-04-07,184.529999,185.190002,175.160004,175.589996,173.412491,7846700
2020-04-08,175.009995,179.419998,174.100006,177.490005,175.288940,5665700
2020-04-09,180.729996,185.460007,179.619995,183.699997,181.421906,4901900
2020-04-13,182.679993,182.850006,176.910004,180.119995,177.886307,3182500
2020-04-14,183.750000,184.490005,181.839996,183.990005,181.708344,3863800
2020-04-15,178.740005,180.970001,177.270004,177.839996,175.634583,4961500
2020-04-16,177.000000,179.910004,172.270004,179.500000,177.274002,7120800
2020-04-17,182.320007,186.809998,180.229996,186.100006,183.792175,6467600
2020-04-20,184.449997,185.779999,181.550003,181.649994,179.397339,3856500
2020-04-21,177.369995,179.389999,176.100006,177.580002,175.377823,4758300
2020-04-22,180.750000,187.729996,180.750000,186.479996,184.167450,4245900
2020-04-23,186.160004,187.330002,181.320007,182.039993,179.782501,5050100
2020-04-24,183.259995,184.350006,180.860001,184.020004,181.737961,3319600
2020-04-27,185.149994,188.369995,184.770004,185.889999,183.584763,4048200
2020-04-28,190.000000,190.000000,185.570007,185.929993,183.624252,3805000
2020-04-29,188.529999,190.410004,186.880005,187.820007,185.490829,3465200
2020-04-30,182.000000,188.309998,180.759995,187.559998,185.234055,7124300
2020-05-01,184.000000,185.539993,182.149994,182.660004,180.394821,3764800
2020-05-04,181.309998,182.460007,178.869995,181.869995,179.614609,4027100
2020-05-05,183.529999,183.860001,179.110001,179.240005,177.017227,3828400
2020-05-06,180.600006,181.119995,176.860001,176.970001,174.775391,3916900
2020-05-07,179.500000,181.559998,178.300003,181.119995,178.873901,3039600
2020-05-08,183.199997,183.429993,179.910004,181.229996,178.982559,3411600
2020-05-11,179.369995,182.880005,178.520004,180.880005,178.636887,2631300
2020-05-12,181.970001,182.589996,176.440002,176.539993,174.350708,3610600
2020-05-13,176.179993,176.570007,171.009995,172.820007,170.676849,4729100
2020-05-14,170.199997,175.660004,167.850006,175.410004,173.234726,4868400
2020-05-15,173.050003,174.710007,171.679993,173.809998,171.654556,6879600
2020-05-18,180.059998,181.149994,178.110001,179.830002,177.599915,4653000
2020-05-19,180.119995,181.460007,178.070007,179.570007,177.343140,3365000
2020-05-20,182.000000,184.600006,180.570007,184.100006,181.816971,4920800
2020-05-21,184.179993,185.479996,182.110001,185.080002,182.784805,2913600
2020-05-22,184.479996,185.350006,183.179993,184.410004,182.123123,2475200
2020-05-26,189.589996,190.660004,184.240005,184.839996,182.547791,3990900
2020-05-27,188.740005,188.750000,185.270004,187.720001,185.392075,3993400
2020-05-28,189.419998,190.479996,186.720001,188.729996,186.389542,3567600
2020-05-29,187.429993,188.699997,185.710007,186.320007,185.236298,5719100
2020-06-01,186.710007,187.839996,185.600006,187.410004,186.319946,2168200
2020-06-02,188.399994,188.559998,186.089996,187.589996,186.498901,3125500
2020-06-03,188.470001,193.809998,188.089996,193.289993,192.165741,3881500
2020-06-04,192.320007,194.259995,191.619995,193.240005,192.116043,3469100
2020-06-05,198.000000,200.149994,196.270004,197.160004,196.013245,4728300
2020-06-08,195.679993,202.729996,195.639999,202.649994,201.471298,4443900
2020-06-09,200.369995,201.570007,199.009995,199.520004,198.359512,3728600
2020-06-10,199.130005,199.559998,195.669998,195.800003,194.661148,3459900
2020-06-11,190.899994,192.910004,186.330002,187.509995,186.419357,5796000
2020-06-12,191.669998,191.669998,185.449997,189.169998,188.069717,4107900
2020-06-15,184.600006,190.119995,184.139999,189.490005,188.387863,4499000
2020-06-16,192.000000,193.500000,187.509995,190.320007,189.213028,5434800
2020-06-17,191.919998,192.880005,190.419998,190.789993,189.680283,3152900
2020-06-18,190.009995,190.740005,187.889999,189.490005,188.387863,3153300
2020-06-19,192.289993,192.360001,186.529999,186.559998,185.474884,6267700
2020-06-22,186.000000,187.770004,184.889999,187.460007,186.369659,3223200
2020-06-23,189.550003,189.729996,186.320007,186.619995,185.534546,2951900
2020-06-24,184.960007,185.710007,181.339996,184.289993,183.218094,4146600
2020-06-25,183.509995,184.080002,180.330002,182.759995,181.696991,3145200
2020-06-26,182.369995,182.809998,178.880005,179.740005,178.694565,5107400
2020-06-29,180.570007,182.830002,179.169998,182.800003,181.736771,2622200
2020-06-30,182.919998,185.199997,181.889999,184.470001,183.397049,3163100
2020-07-01,184.949997,186.440002,183.720001,184.660004,183.585953,2193800
2020-07-02,187.000000,187.000000,182.860001,183.520004,182.452576,2690200
2020-07-06,186.000000,188.720001,184.139999,188.500000,187.403610,3171500
2020-07-07,187.369995,187.850006,185.250000,185.820007,184.739197,2399600
2020-07-08,185.500000,187.229996,184.750000,185.850006,184.769028,2776400
2020-07-09,186.220001,186.589996,182.619995,184.330002,183.257858,2333500
2020-07-10,183.779999,185.440002,183.009995,184.880005,183.804672,2714100
2020-07-13,185.600006,188.949997,184.710007,184.919998,183.844437,3221600
2020-07-14,185.089996,190.839996,184.729996,190.720001,189.610703,4138600
2020-07-15,193.899994,194.000000,189.880005,191.770004,190.654587,3735400
2020-07-16,191.119995,192.759995,190.149994,190.919998,189.809525,2111100
2020-07-17,191.339996,191.899994,190.130005,191.479996,190.366272,1972600
2020-07-20,190.899994,192.770004,190.369995,191.610001,190.495514,2157100
2020-07-21,192.330002,194.899994,192.000000,192.979996,191.857544,3505400
2020-07-22,193.210007,199.649994,193.050003,198.619995,197.464737,3484400
2020-07-23,198.460007,199.270004,196.009995,197.550003,196.400970,2702200
2020-07-24,196.889999,198.910004,195.729996,198.720001,197.564163,2199900
2020-07-27,199.039993,202.520004,198.710007,201.250000,200.079453,4541700
2020-07-28,198.600006,199.889999,195.500000,196.240005,195.098602,6051000
2020-07-29,196.300003,198.460007,195.710007,196.210007,195.068771,3342900
2020-07-30,195.000000,196.399994,192.919998,195.410004,194.273422,2705700
2020-07-31,194.149994,194.679993,191.639999,194.279999,193.149994,3195500
2020-08-03,194.330002,195.600006,193.589996,194.399994,193.269287,3143500
2020-08-04,194.949997,199.699997,194.339996,199.360001,198.200439,3699900
2020-08-05,200.000000,200.500000,197.910004,199.259995,198.101013,2281800
2020-08-06,198.779999,203.600006,198.369995,203.179993,201.998215,3158900
2020-08-07,203.360001,205.160004,203.289993,204.600006,203.409973,2979500
2020-08-10,204.350006,205.160004,202.539993,204.119995,202.932755,2783600
2020-08-11,205.000000,207.419998,204.250000,205.000000,203.807632,2478400
2020-08-12,206.860001,207.399994,205.380005,206.020004,204.821716,2167100
2020-08-13,205.960007,207.250000,205.350006,206.490005,205.288971,1795000
2020-08-14,205.949997,207.330002,205.199997,207.029999,205.825836,2060200
2020-08-17,206.940002,209.500000,206.850006,208.669998,207.456284,2619000
2020-08-18,209.259995,210.429993,207.229996,210.320007,209.096695,2921500
2020-08-19,210.220001,211.169998,208.639999,209.509995,208.291397,2711100
2020-08-20,208.119995,210.990005,208.100006,209.880005,208.659256,2084900
2020-08-21,209.960007,212.190002,209.259995,211.570007,210.339432,3484800
2020-08-24,212.259995,213.500000,210.929993,212.619995,211.383316,2463900
2020-08-25,213.960007,214.190002,212.220001,212.649994,211.413132,2302400
2020-08-26,212.089996,214.419998,211.600006,213.759995,212.516678,2316700
2020-08-27,214.339996,216.100006,212.100006,212.190002,210.955826,3226800
2020-08-28,212.820007,216.710007,211.770004,214.910004,213.660004,3212500
2020-08-31,213.520004,214.990005,212.809998,213.520004,213.520004,2900900
2020-09-01,210.839996,213.610001,210.580002,212.690002,212.690002,2926700
2020-09-02,213.250000,217.130005,212.690002,216.229996,216.229996,4092000
2020-09-03,218.110001,218.110001,211.899994,213.800003,213.800003,3126700
2020-09-04,215.289993,217.779999,210.759995,211.729996,211.729996,3828600
2020-09-08,211.179993,216.300003,211.059998,213.580002,213.580002,4107600
2020-09-09,215.000000,218.169998,214.440002,215.710007,215.710007,3213200
2020-09-10,215.720001,219.479996,215.720001,217.240005,217.240005,3325600
2020-09-11,217.690002,219.179993,216.279999,218.000000,218.000000,3616500
2020-09-14,219.720001,222.589996,219.339996,220.559998,220.559998,2543800
2020-09-15,221.759995,223.639999,221.399994,222.369995,222.369995,2640700
2020-09-16,222.169998,226.720001,221.300003,224.809998,224.809998,3463700
2020-09-17,223.699997,223.729996,220.500000,222.580002,222.580002,3376600
2020-09-18,221.619995,223.570007,220.130005,220.270004,220.270004,3861400
2020-09-21,217.139999,218.050003,213.399994,216.410004,216.410004,2831800
2020-09-22,216.429993,216.960007,214.550003,216.410004,216.410004,2475600
2020-09-23,217.669998,219.690002,214.240005,214.970001,214.970001,2777700
2020-09-24,214.750000,218.410004,213.589996,216.119995,216.119995,1727000
2020-09-25,215.300003,219.250000,213.649994,218.179993,218.179993,2196800
2020-09-28,220.000000,221.979996,219.020004,220.259995,220.259995,2111700
2020-09-29,220.419998,220.960007,218.479996,218.679993,218.679993,1731700
2020-09-30,218.869995,222.199997,218.410004,219.490005,219.490005,3033500
2020-10-01,221.589996,223.000000,217.789993,219.589996,219.589996,2443000
2020-10-02,217.509995,223.350006,217.100006,222.669998,222.669998,3833100
2020-10-05,224.860001,226.500000,224.009995,226.070007,226.070007,2913800
2020-10-06,226.830002,228.660004,223.600006,224.089996,224.089996,2452900
