Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,137.979996,139.789993,134.610001,139.339996,139.339996,1001700
2020-03-03,139.429993,142.330002,136.089996,137.160004,137.160004,964900
2020-03-04,139.000000,144.330002,137.229996,144.250000,144.250000,1336000
2020-03-05,141.740005,149.350006,140.270004,148.080002,148.080002,1501600
2020-03-06,145.250000,146.990005,141.570007,145.139999,145.139999,1311500
2020-03-09,136.929993,145.669998,134.000000,139.779999,139.779999,1361700
2020-03-10,141.759995,142.720001,133.190002,141.899994,141.899994,1359000
2020-03-11,139.080002,140.809998,133.475006,135.059998,135.059998,905500
2020-03-12,125.430000,129.880005,116.482002,126.989998,126.989998,1836600
2020-03-13,133.009995,133.009995,121.010002,131.559998,131.559998,1439600
2020-03-16,118.529999,123.889999,109.180000,117.639999,117.639999,1736000
2020-03-17,118.309998,119.839996,111.150002,118.870003,118.870003,2493000
2020-03-18,111.000000,122.610001,110.970001,121.239998,121.239998,1991000
2020-03-19,119.830002,140.360001,117.739998,129.130005,129.130005,2504100
2020-03-20,129.389999,129.690002,119.000000,124.360001,124.360001,3669100
2020-03-23,123.410004,123.410004,113.580002,118.180000,118.180000,2209200
2020-03-24,125.000000,133.949997,123.117996,129.690002,129.690002,2680900
2020-03-25,130.039993,131.500000,122.320000,124.230003,124.230003,1994700
2020-03-26,124.089996,127.989998,122.605003,126.809998,126.809998,1125600
2020-03-27,122.480003,126.379997,121.500000,122.540001,122.540001,1094200
2020-03-30,124.400002,126.984001,120.029999,121.430000,121.430000,1356600
2020-03-31,122.000000,125.900002,120.010002,121.440002,121.440002,1763600
2020-04-01,119.809998,124.470001,116.300003,121.610001,121.610001,1718100
2020-04-02,120.690002,125.410004,119.260002,121.910004,121.910004,739500
2020-04-03,122.099998,123.300003,119.375000,122.120003,122.120003,871700
2020-04-06,120.889999,123.470001,116.000000,122.519997,122.519997,2315000
2020-04-07,125.099998,129.399994,123.552002,127.610001,127.610001,1539200
2020-04-08,127.540001,129.979996,124.070000,126.040001,126.040001,1386400
2020-04-09,127.620003,134.757996,126.500000,131.860001,131.860001,1226200
2020-04-13,131.770004,132.360001,128.029999,129.830002,129.830002,1067700
2020-04-14,132.050003,137.330002,130.559998,135.929993,135.929993,1536400
2020-04-15,134.169998,141.630005,133.369995,138.779999,138.779999,1747100
2020-04-16,139.949997,140.570007,136.029999,139.490005,139.490005,1102600
2020-04-17,141.220001,142.957993,139.070007,141.860001,141.860001,709100
2020-04-20,140.690002,146.300003,140.000000,144.539993,144.539993,1144400
2020-04-21,142.699997,143.669998,138.029999,139.139999,139.139999,1098000
2020-04-22,141.539993,142.600006,139.479996,139.740005,139.740005,899100
2020-04-23,139.750000,141.235001,138.130005,138.710007,138.710007,769500
